n_agents	seeds	infer_us_mean	infer_us_p95	frame_ms_mean	frame_ms_p95	fail_rate	intents_per_agent_min
8	3	183.2	234.8	5.57	7.75	0.001	5.67
16	3	184.1	230.5	5.84	8.19	0.000	5.67
32	3	202.6	257.6	7.53	11.27	0.000	6.06
64	3	199.8	264.1	10.25	13.38	0.002	5.61
96	3	153.7	198.1	11.62	15.89	0.047	5.35
128	3	132.0	181.6	14.39	17.05	0.449	4.98
