session,active_ablation,policy_mode,actor_personas,mass_personas,actor_mean_decisions,mass_mean_decisions,actor_balanced_accuracy,mass_balanced_accuracy,mass_minus_actor_balanced_accuracy,mean_action_js_divergence,trait_prediction_agreement
20260901_052732,full,HybridPCSP,16,16,27.1875,42.25,0.5046296296296295,0.4387830687830688,-0.06584656084656076,0.07780026670601603,0.7125
20260901_053253,full,HybridPCSP,16,16,26.125,42.8125,0.557936507936508,0.4632275132275132,-0.09470899470899474,0.053268446719053515,0.7
20260901_053815,full,HybridPCSP,16,16,26.0625,41.5,0.4325661375661376,0.4477777777777778,0.015211640211640176,0.07273739726417633,0.625
